Nom,Acc,Gen,Loc,Dat,Ins,Dataset
0.35275731768633084,0.1632801687719971,0.2626229117316235,0.0921896300596611,0.05896393898083691,0.07018603276955054,Average
0.5897204688908927,0.24165915238954014,0.05229936880072137,0.025247971145175834,0.06311992786293959,0.027953110910730387,вопрос_Sing
0.24330357142857142,0.3549107142857143,0.21205357142857142,0.033482142857142856,0.125,0.03125,вопрос_Plur
0.4900449582530507,0.2742453436095055,0.09826589595375723,0.027617212588310854,0.08092485549132948,0.028901734104046242,вопрос_Both
0.25769230769230766,0.057692307692307696,0.4807692307692308,0.13076923076923078,0.038461538461538464,0.03461538461538462,Пушкин_Sing
0,0,0,0,0,0,Пушкин_Plur
0.25769230769230766,0.057692307692307696,0.4807692307692308,0.13076923076923078,0.038461538461538464,0.03461538461538462,Пушкин_Both
1.0,0.0,0.0,0.0,0.0,0.0,святитель_Sing
0,0,0,0,0,0,святитель_Plur
1.0,0.0,0.0,0.0,0.0,0.0,святитель_Both
1.0,0.0,0.0,0.0,0.0,0.0,Филарет_Sing
0,0,0,0,0,0,Филарет_Plur
1.0,0.0,0.0,0.0,0.0,0.0,Филарет_Both
0.4444444444444444,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,митрополит_Sing
0,0,0,0,0,0,митрополит_Plur
0.4444444444444444,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,митрополит_Both
0.6332476435304198,0.10239931448157669,0.08097686375321336,0.00856898029134533,0.14910025706940874,0.02570694087403599,ты_Sing
0,0,0,0,0,0,ты_Plur
0.6332476435304198,0.10239931448157669,0.08097686375321336,0.00856898029134533,0.14910025706940874,0.02570694087403599,ты_Both
0.4714163822525597,0.3099402730375427,0.08020477815699659,0.07252559726962457,0.022824232081911262,0.04308873720136519,что_Sing
0,0,0,0,0,0,что_Plur
0.4714163822525597,0.3099402730375427,0.08020477815699659,0.07252559726962457,0.022824232081911262,0.04308873720136519,что_Both
0.6865,0.07021428571428572,0.071,0.005,0.15578571428571428,0.0115,я_Sing
0,0,0,0,0,0,я_Plur
0.6865,0.07021428571428572,0.071,0.005,0.15578571428571428,0.0115,я_Both
0.7142857142857143,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,упоминание_Sing
0.42857142857142855,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,упоминание_Plur
0.6190476190476191,0.0,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.047619047619047616,упоминание_Both
0.22033898305084745,0.11864406779661017,0.4067796610169492,0.1864406779661017,0.03389830508474576,0.03389830508474576,диалог_Sing
0.42105263157894735,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.0,0.15789473684210525,диалог_Plur
0.2692307692307692,0.14102564102564102,0.3333333333333333,0.16666666666666666,0.02564102564102564,0.0641025641025641,диалог_Both
0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,Воропаев_Sing
0,0,0,0,0,0,Воропаев_Plur
0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,Воропаев_Both
0.5767676767676768,0.17191919191919192,0.07484848484848484,0.022525252525252525,0.11181818181818182,0.04212121212121212,он_Sing
0,0,0,0,0,0,он_Plur
0.5767676767676768,0.17191919191919192,0.07484848484848484,0.022525252525252525,0.11181818181818182,0.04212121212121212,он_Both
0.6035714285714285,0.25357142857142856,0.1,0.03214285714285714,0.0035714285714285713,0.007142857142857143,все_Sing
0.547438330170778,0.16129032258064516,0.1252371916508539,0.007590132827324478,0.1252371916508539,0.03320683111954459,все_Plur
0.5592203898050975,0.18065967016491755,0.1199400299850075,0.012743628185907047,0.09970014992503748,0.027736131934032984,все_Both
0.0,0.5,0.5,0.0,0.0,0.0,стих_Sing
0.21428571428571427,0.5714285714285714,0.21428571428571427,0.0,0.0,0.0,стих_Plur
0.16666666666666666,0.5555555555555556,0.2777777777777778,0.0,0.0,0.0,стих_Both
0.5714285714285714,0.0,0.14285714285714285,0.07142857142857142,0.0,0.21428571428571427,ссылка_Sing
0.5,0.0,0.14285714285714285,0.14285714285714285,0.0,0.21428571428571427,ссылка_Plur
0.5357142857142857,0.0,0.14285714285714285,0.10714285714285714,0.0,0.21428571428571427,ссылка_Both
0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,вы_Sing
0.6181506849315068,0.07901174168297456,0.11521526418786693,0.0026908023483365948,0.15190802348336596,0.03302348336594912,вы_Plur
0.617941823515033,0.07919824003911025,0.11513077487166952,0.002688829137130286,0.15204106575409435,0.0329992666829626,вы_Both
0.2,0.75,0.05,0.0,0.0,0.0,вторник_Sing
1.0,0.0,0.0,0.0,0.0,0.0,вторник_Plur
0.23809523809523808,0.7142857142857143,0.047619047619047616,0.0,0.0,0.0,вторник_Both
0,0,0,0,0,0,мы_Sing
0.5789473684210527,0.06785832505792784,0.19563058589870905,0.004303210857332009,0.12495862297252565,0.02830188679245283,мы_Plur
0.5789473684210527,0.06785832505792784,0.19563058589870905,0.004303210857332009,0.12495862297252565,0.02830188679245283,мы_Both
0.34782608695652173,0.08695652173913043,0.391304347826087,0.13043478260869565,0.0,0.043478260869565216,сессия_Sing
0.25,0.5,0.0,0.0,0.0,0.25,сессия_Plur
0.3333333333333333,0.14814814814814814,0.3333333333333333,0.1111111111111111,0.0,0.07407407407407407,сессия_Both
0.0,0.5,0.0,0.0,0.0,0.5,трагикомедия_Sing
0,0,0,0,0,0,трагикомедия_Plur
0.0,0.5,0.0,0.0,0.0,0.5,трагикомедия_Both
